request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay home currency 15656000.0 today. Liquid reserves remain safely above the minimum balance threshold throughout the 90-day forecast."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay home currency 6670.0 today. Liquid reserves remain safely above the minimum balance threshold throughout the 90-day forecast."
request_28,689.4,affordable_later,wait,none,2024-08-15,none,"Wait until upcoming salary or confirmed income settles. Full payment is projected to become safe on 2024-08-15."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay home currency 51524.0 today. Liquid reserves remain safely above the minimum balance threshold throughout the 90-day forecast."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-06-06,none,"Use 3 installments of 268.74 starting 2026-04-06. Keeps balance above minimum threshold."
request_31,13840360.0,affordable_with_plan,installments,2024-09-03:18164000.0,2024-11-15,none,"Use 1 installments of 18164000.0 starting 2024-09-03. Keeps balance above minimum threshold."
request_32,33305.8,affordable_later,wait,none,2025-04-15,none,"Wait until upcoming salary or confirmed income settles. Full payment is projected to become safe on 2025-04-15."
request_33,65180.0,affordable_later,wait,none,2026-03-15,none,"Wait until upcoming salary or confirmed income settles. Full payment is projected to become safe on 2026-03-15."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay home currency 129400.0 today. Liquid reserves remain safely above the minimum balance threshold throughout the 90-day forecast."
request_35,125130.0,affordable_later,wait,none,2026-01-15,none,"Wait until upcoming salary or confirmed income settles. Full payment is projected to become safe on 2026-01-15."
request_36,1446.6,affordable_later,wait,none,2026-09-15,none,"Wait until upcoming salary or confirmed income settles. Full payment is projected to become safe on 2026-09-15."
request_37,12068800.0,affordable_later,wait,none,2024-05-15,none,"Wait until upcoming salary or confirmed income settles. Full payment is projected to become safe on 2024-05-15."
request_38,379.4,affordable_later,wait,none,2025-10-15,none,"Wait until upcoming salary or confirmed income settles. Full payment is projected to become safe on 2025-10-15."
request_39,203105.0,affordable_later,wait,none,2026-06-15,none,"Wait until upcoming salary or confirmed income settles. Full payment is projected to become safe on 2026-06-15."
request_40,894.0,affordable_with_plan,installments,2024-06-06:1290.3,2024-08-15,none,"Use 1 installments of 1290.3 starting 2024-06-06. Keeps balance above minimum threshold."
